full_name,age,position,yellow_cards_overall,red_cards_overall,assists_per_90_overall,goals_per_90_overall
Josh Murphy,27,Forward,2,0,0.1,0.15
Juan Mata,34,Midfielder,3,0,0.14,0.21
Lucas Perez,34,Forward,0,0,0,0.58
Pascal Groß,31,Midfielder,1,0,0.14,0.14
Ross Barkley,28,Midfielder,1,0,0.36,0.22
Sam Vokes,33,Forward,0,0,0,0.3
Stuart Armstrong,30,Midfielder,2,0,0.13,0.19
Willian,34,Forward,2,0,0.26,0.13
Youri Tielemans,25,Midfielder,2,0,0.33,0.25
Alex Pritchard,29,Midfielder,2,0,0,0.09
Ander Herrera,33,Midfielder,4,0,0.19,0.13
Andriy Yarmolenko,33,Forward,2,0,0,0.39
Anthony Knockaert,30,Midfielder,5,1,0.29,0.1
Ashley Westwood,32,Midfielder,5,0,0.22,0.06
Ashley Young,37,Midfielder,10,1,0.07,0.07
Charlie Austin,33,Forward,1,0,0.18,0.18
Dan Gosling,32,Midfielder,8,0,0.05,0.1
Daniel Sturridge,33,Forward,1,0,0.18,0.36
Declan Rice,23,Midfielder,4,0,0,0.06
Jefferson Lerma,28,Midfielder,12,0,0,0.07
Jorginho,30,Midfielder,8,0,0,0.06
Joselu,32,Forward,1,0,0,0.31
Junior Stanislas,32,Midfielder,1,0,0.26,0.18
Jürgen Locadia,28,Forward,1,0,0,0.15
Kevin De Bruyne,31,Midfielder,2,0,0.18,0.18
Leander Dendoncker,27,Midfielder,1,0,0,0.12
Lucas Torreira,26,Midfielder,8,1,0.08,0.08
Marc Albrighton,32,Midfielder,3,0,0.11,0.11
Matt Ritchie,33,Midfielder,9,0,0.24,0.06
Naby Keïta,27,Midfielder,0,0,0.06,0.13
Olivier Giroud,36,Forward,1,0,0.43,0.22
Philip Billing,26,Midfielder,7,0,0,0.08
Robert Snodgrass,35,Midfielder,10,0,0.2,0.08
Romain Saïss,32,Midfielder,7,0,0,0.16
Scott McTominay,25,Midfielder,1,0,0,0.21
Steve Mounié,28,Forward,2,1,0.15,0.1
Wilfred Ndidi,25,Midfielder,8,0,0,0.05
Will Hughes,27,Midfielder,5,0,0.15,0.07
Aaron Lennon,35,Midfielder,1,0,0.07,0.07
Adama Traoré,26,Midfielder,1,0,0.1,0.1
Ainsley Maitland-Niles,25,Midfielder,3,1,0.09,0.09
Alexis Sanchez,33,Forward,3,0,0.31,0.1
André Gomes,29,Midfielder,7,0,0.05,0.05
Andreas Pereira,26,Midfielder,5,0,0.15,0.15
Aron Einar Gunnarsson,33,Midfielder,5,0,0.04,0.04
Ben Gibson,29,Defender,1,0,0,1.43
Beram Kayal,34,Midfielder,4,0,0.1,0.1
Bernard Anício Caldeira Duarte,30,Midfielder,5,0,0.13,0.04
Christian Atsu Twasam,30,Midfielder,2,0,0,0.06
Christian Benteke,31,Forward,1,0,0.11,0.11
Dale Stephens,33,Midfielder,7,1,0.04,0.04
Danny Ward,31,Forward,0,0,0,0.2
Danny Welbeck,31,Forward,0,0,0.61,0.61
Davy Pröpper,31,Midfielder,2,0,0.04,0.04
Domingos Quina,22,Midfielder,0,0,0,0.27
